__Recipe,RECIPE NAME:,,Piladelphia
Philadlephia,MENU CATEGORY:,,Sushi Traditional Rolls,,1
Philadlephia,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Philadlephia,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Philadlephia,0.035,Oz(w),500,Un,Nory Seaweed,0.25,Oz(w),0.00875,Oz(w),0.00875
Philadlephia,3.88,Oz(w),200,LB,Sushi rice,0.05,Oz(w),0.194,Oz(w),0.194
Philadlephia,2.47,Oz(w),22.8,LB,Salmon noruego,0.71875,Oz(w),1.7753125,Oz(w),1.7753125
Philadlephia,1.06,Oz(w),25,LB,Avocado,0.115,Oz(w),0.12190000000000001,Oz(w),0.12190000000000001
Philadlephia,0.52,Oz(w),11,LB,Asparagus,0.22585227272727273,Oz(w),0.11744318181818182,Oz(w),0.11744318181818182
Philadlephia,0.35,Oz(w),18,LB,cream cheese,0.3035069444444444,Oz(w),0.10622743055555554,Oz(w),0.10622743055555554
Philadlephia,0.035,Oz(w),18,Un,White sesame,0.5583333333333333,Oz(w),0.01954166666666667,Oz(w),0.01954166666666667
Philadlephia,,,,,,,TOTAL INGREDIENT COST,,,2.3431747790404045
Philadlephia,,,,,,,15% Q FACTOR,,,0.23431747790404045
Philadlephia,,,,,,,RECIPE COST,,,2.5774922569444447
Philadlephia,,,,,,,PORTION COST,,,0.013424438838252317
Philadlephia,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Philadlephia,,,,,,,TOTAL COST,,,3.0909166957826972
Philadlephia,,,,,,,DESIRED FOOD COST %,,,0.3
Philadlephia,,,,,,,DESRIRED MENU PRICE,,,10.303055652608991
Philadlephia,,,,,,,CURRENT PRICE,,,14
Philadlephia,,,,,,,VARIANCE,,,3.6969443473910086
Philadlephia,,,,,,,ACTUAL FOOD COST,,,0.22077976398447838
